round,governor,mean_s,user_s,system_s
0,performance,0.5812717035150001,0.282656165,0.295281465
1,powersave,0.586561648855,0.28402700499999994,0.29908714999999997
2,powersave,0.5855397459100001,0.28667204999999996,0.29541229999999996
3,performance,0.589880353345,0.28871768999999997,0.297654675
4,powersave,0.585766497615,0.27943470000000004,0.30261156
5,performance,0.5917486572,0.288814665,0.29912076500000007
6,performance,0.5892480431,0.285564015,0.30015594
7,powersave,0.5928884083000001,0.2933221650000001,0.295849535
